id,text,label
1,4587 تومن برای بیمه دادم,other
2,بلیط تئاتر 3168 تومن شد,entertainment
3,قبض گاز 4003 تومن شد,housing
4,کیف 205 تومن شد,shopping
5,3732 تومن لباس خریدم,shopping
6,کیف 1400 تومن شد,shopping
7,دارو 196 تومن شد,health
8,کیف 787 تومن شد,shopping
9,خرج متفرقه 3547 تومن شد,other
10,3832 تومن برای خرید غذا دادم,food
11,3131 تومن اشتراک خریدم,other
12,2344 تومن برای کفش دادم,shopping
13,822 تومن خرید اینترنتی کردم,shopping
14,2573 تومن اسنپ گرفتم,transport
15,4474 تومن خرج غذا شد,food
16,3192 تومن شهربازی رفتیم,entertainment
17,ویزیت پزشک 52 تومن شد,health
18,خرج متفرقه 792 تومن شد,other
19,1748 تومن برای خرید سوپر دادم,shopping
20,قبض گاز 3123 تومن شد,housing
21,بلیط تئاتر 2048 تومن شد,entertainment
22,غذا 2326 تومن شد,food
23,3894 تومن خرید اینترنتی کردم,shopping
24,421 تومن برای غذا دادم,food
25,4654 تومن لباس خریدم,shopping
26,شارژ موبایل 4123 تومن شد,other
27,3911 تومن اینترنت دادم,housing
28,2778 تومن برای خرید غذا دادم,food
29,در رستوران غذا 2043 تومن شد,food
30,252 تومن برای کفش دادم,shopping
31,غذای رستوران 114 تومن شد,food
32,3301 تومن خرج کنسرت شد,entertainment
33,856 تومن برای غذا دادم,food
34,اجاره 51 تومن شد,housing
35,خرج غذا 3031 تومن شد,food
36,درمانگاه 444 تومن شد,health
37,بولینگ 1173 تومن شد,entertainment
38,2760 تومن از داروخانه خرید کردم,health
39,1477 تومن از داروخانه خرید کردم,health
40,2344 تومن اتوبوس شد,transport
41,خرج متفرقه 2273 تومن شد,other
42,خرج غذا 3348 تومن شد,food
43,1039 تومن کمک خیریه کردم,other
44,تعمیرات خانه 4135 تومن شد,housing
45,328 تومن هدیه خریدم,other
46,خرج تفریح 2953 تومن شد,entertainment
47,3891 تومن اشتراک خریدم,other
48,بنزین 3546 تومن شد,transport
49,2698 تومن خرج غذا شد,food
50,1129 تومن برای غذا دادم,food
51,1608 تومن اینترنت دادم,housing
52,3669 تومن برای قبض برق دادم,housing
53,خرج متفرقه 2517 تومن شد,other
54,لوازم خانگی 3819 تومن شد,shopping
55,2962 تومن مترو شارژ کردم,transport
56,ویزیت پزشک 3932 تومن شد,health
57,در رستوران غذا 216 تومن شد,food
58,در رستوران غذا 2313 تومن شد,food
59,2606 تومن اینترنت دادم,housing
60,297 تومن برای قبض برق دادم,housing
61,دارو 1336 تومن شد,health
62,خرج متفرقه 987 تومن شد,other
63,بنزین 2827 تومن شد,transport
64,ویزیت پزشک 1765 تومن شد,health
65,غذا 2507 تومن شد,food
66,غذای رستوران 2933 تومن شد,food
67,2299 تومن برای خرید غذا دادم,food
68,بلیط تئاتر 2841 تومن شد,entertainment
69,966 تومن خرج غذا شد,food
70,خرج خانه 2782 تومن شد,housing
71,4675 تومن از داروخانه خرید کردم,health
72,854 تومن آزمایش دادم,health
73,دارو 939 تومن شد,health
74,2430 تومن برای بیمه دادم,other
75,درمانگاه 1401 تومن شد,health
76,1947 تومن مترو شارژ کردم,transport
