id,text,label
1,برای 2420 پیتزا تومن دادم,food
2,950 تومن خرج هزینه متفرقه کردم,other
3,1214 تومن پیتزا گرفتم,food
4,4806 برای میوه دادم,shopping
5,برای 1673 بیف برگر تومن دادم,food
6,3274 برای هزینه شخصی پرداخت شد,other
7,4285 تومن خرج هزینه شخصی کردم,other
8,خرید 3709 دندانپزشک تومن,health
9,3491 تومن سینما رفتم,entertainment
10,1008 تومن کنسرت رفتم,entertainment
11,خرید 1912 دندانپزشک تومن,health
12,برای 1526 کباب تومن دادم,food
13,2717 تومن خرید کیف کردم,shopping
14,3348 برای لباس دادم,shopping
15,2310 تومن خرید لوازم تحریر کردم,shopping
16,خرید 2914 آزمایش تومن,health
17,3506 کرایه تاکسی شد,transport
18,3380 تومن قبض آب دادم,housing
19,4499 تومن هزینه آزمایش شد,health
20,3297 تومن هزینه ویزیت شد,health
21,1683 برای هزینه شخصی پرداخت شد,other
22,4294 برای سوپرمارکت دادم,shopping
23,برای 1259 سینما دادم,entertainment
24,خرید 261 ویزیت تومن,health
25,3858 تومن قبض آب دادم,housing
26,خرید 3691 دارو تومن,health
27,خرید 351 آزمایش تومن,health
28,2793 تومن سوپرمارکت خریدم,shopping
29,خرید 2758 دارو تومن,health
30,4913 برای مترو پرداخت کردم,transport
31,4036 تومن کباب خوردم,food
32,782 اجاره خونه پرداخت کردم,housing
33,596 تومن خرج هزینه متفرقه کردم,other
34,1783 تومن بیف برگر خوردم,food
35,خرید 839 ویزیت تومن,health
36,خرید 1526 آزمایش تومن,health
37,703 تومن صبحونه گرفتم,food
38,1174 تومن قبض برق دادم,housing
39,4599 تومن قبض آب دادم,housing
40,2285 تومن ساندویچ خوردم,food
41,سهم 136 آب شد,housing
42,1473 اجاره خونه پرداخت کردم,housing
43,217 تومن سینما رفتم,entertainment
44,3341 تومن سوپرمارکت خریدم,shopping
45,4348 برای رفت و برگشت پرداخت کردم,transport
46,خرید 4575 ویزیت تومن,health
47,سهم 2376 آب شد,housing
48,4401 هزینه هزینه شخصی شد,other
49,3214 برای کار اداری پرداخت شد,other
50,برای 557 شهربازی دادم,entertainment
51,946 تومن ناهار خوردم,food
52,2632 برای هزینه شخصی پرداخت شد,other
53,2258 برای هزینه متفرقه پرداخت شد,other
54,2583 برای هزینه متفرقه پرداخت شد,other
55,798 هزینه هزینه متفرقه شد,other
56,3373 تومن هزینه آزمایش شد,health
57,برای 3803 شام تومن دادم,food
58,1883 برای مترو پرداخت کردم,transport
59,2323 برای هزینه متفرقه پرداخت شد,other
60,2645 تومن کباب گرفتم,food
61,3950 کرایه رفت و برگشت شد,transport
62,1160 برای کیف دادم,shopping
63,2088 تومن لباس خریدم,shopping
64,4999 تومن خرج هزینه شخصی کردم,other
65,82 تومن بازی رفتم,entertainment
66,3267 تومن قبض برق دادم,housing
67,2083 تومن قبض اجاره دادم,housing
68,خرید 4204 دندانپزشک تومن,health
69,3268 تومن کیف خریدم,shopping
70,1521 تومن هزینه دارو شد,health
71,850 تومن هزینه ویزیت شد,health
72,3810 تومن دکتر رفتم,health
73,1105 تومن خرید سوپرمارکت کردم,shopping
74,2020 تومن خرج هزینه شخصی کردم,other
75,4966 تومن ساندویچ گرفتم,food
76,2409 تومن هزینه دندانپزشک شد,health
77,برای 4328 شام تومن دادم,food
78,4739 تومن شهربازی رفتم,entertainment
79,2430 کرایه اتوبوس شد,transport
80,سهم 2788 شارژ ساختمان شد,housing
81,4944 کرایه اسنپ شد,transport
82,3739 تومن بیف برگر خوردم,food
83,323 تومن دکتر رفتم,health
84,1210 تومن کباب خوردم,food
85,4483 تومن رفت و برگشت گرفتم,transport
86,2829 تومن خرید کیف کردم,shopping
87,1786 کرایه رفت و برگشت شد,transport
88,برای 1959 پیتزا تومن دادم,food
89,172 برای اسنپ پرداخت کردم,transport
90,1309 تومن خرج هزینه شخصی کردم,other
91,4913 تومن ناهار گرفتم,food
92,3591 تومن خرج هزینه متفرقه کردم,other
93,21 هزینه هزینه شخصی شد,other
94,2917 برای تاکسی پرداخت کردم,transport
95,2517 برای هزینه متفرقه پرداخت شد,other
96,4832 تومن ساندویچ گرفتم,food
97,2533 تومن ساندویچ خوردم,food
98,2872 تومن سینما رفتم,entertainment
99,1324 تومن خرج کار اداری کردم,other
100,466 تومن شام خوردم,food
101,2596 برای هزینه شخصی پرداخت شد,other
102,برای 926 کافی شاپ دادم,entertainment
103,1270 هزینه کار اداری شد,other
104,خرید 1235 دندانپزشک تومن,health
105,2487 برای هزینه شخصی پرداخت شد,other
106,برای 2471 شام تومن دادم,food
107,سهم 4767 شارژ ساختمان شد,housing
108,برای 3595 پیتزا تومن دادم,food
109,868 تومن تاکسی گرفتم,transport
110,4608 خرج کنسرت شد,entertainment
111,1046 تومن لوازم تحریر خریدم,shopping
112,سهم 2564 شارژ ساختمان شد,housing
113,558 خرج بازی شد,entertainment
114,3660 خرج سینما شد,entertainment
115,خرید 2715 دندانپزشک تومن,health
116,669 تومن خرید لوازم تحریر کردم,shopping
117,497 تومن سینما رفتم,entertainment
118,3912 تومن خرید لوازم تحریر کردم,shopping
119,2004 تومن هزینه ویزیت شد,health
120,2515 تومن بیف برگر خوردم,food
121,برای 3688 ساندویچ تومن دادم,food
122,3099 تومن هزینه دندانپزشک شد,health
123,3449 تومن کباب خوردم,food
124,برای 2140 سینما دادم,entertainment
125,4581 تومن هزینه دارو شد,health
126,سهم 4409 اجاره شد,housing
127,4653 تومن خرج کار اداری کردم,other
128,2518 کرایه اسنپ شد,transport
129,خرید 4647 آزمایش تومن,health
130,1971 تومن خرج هزینه شخصی کردم,other
131,خرید 3804 ویزیت تومن,health
132,825 تومن صبحونه خوردم,food
133,789 تومن بازی رفتم,entertainment
134,خرید 1723 دندانپزشک تومن,health
135,3172 برای سوپرمارکت دادم,shopping
136,2118 تومن خرید میوه کردم,shopping
137,3726 تومن دکتر رفتم,health
138,3397 تومن خرج کار اداری کردم,other
139,2751 تومن ساندویچ گرفتم,food
140,469 تومن قبض گاز دادم,housing
141,3758 تومن کباب خوردم,food
142,3556 تومن خرید کیف کردم,shopping
143,1811 تومن لباس خریدم,shopping
144,1548 برای لباس دادم,shopping
145,163 کرایه اتوبوس شد,transport
146,3619 تومن اسنپ گرفتم,transport
147,4196 تومن هزینه آزمایش شد,health
148,سهم 3375 آب شد,housing
149,خرید 4107 دندانپزشک تومن,health
150,954 تومن صبحونه گرفتم,food
151,2227 تومن لوازم تحریر خریدم,shopping
152,940 تومن کنسرت رفتم,entertainment
153,برای 2177 بازی دادم,entertainment
154,خرید 96 دندانپزشک تومن,health
155,3821 تومن لباس خریدم,shopping
156,4060 تومن کباب گرفتم,food
157,2183 تومن خرید لباس کردم,shopping
158,2468 تومن رفت و برگشت گرفتم,transport
159,486 تومن هزینه دارو شد,health
160,4501 تومن خرج هزینه شخصی کردم,other
161,68 خرج کافی شاپ شد,entertainment
162,4215 تومن دکتر رفتم,health
163,2549 هزینه هزینه شخصی شد,other
164,2453 تومن خرید میوه کردم,shopping
165,خرید 1004 دارو تومن,health
166,3699 تومن شام خوردم,food
167,3800 تومن ناهار گرفتم,food
168,3862 تومن اسنپ گرفتم,transport
169,برای 3527 کباب تومن دادم,food
170,برای 2307 ناهار تومن دادم,food
171,برای 4854 کباب تومن دادم,food
172,72 برای رفت و برگشت پرداخت کردم,transport
173,1517 تومن قبض برق دادم,housing
174,896 تومن بیف برگر خوردم,food
175,828 تومن بیف برگر خوردم,food
176,1465 تومن قبض برق دادم,housing
177,1321 خرج بازی شد,entertainment
178,3766 خرج کافی شاپ شد,entertainment
179,3024 تومن خرید کیف کردم,shopping
180,3875 تومن دکتر رفتم,health
181,4138 هزینه هزینه شخصی شد,other
182,خرید 817 دارو تومن,health
183,541 تومن دکتر رفتم,health
184,273 تومن ساندویچ خوردم,food
185,2554 برای اتوبوس پرداخت کردم,transport
186,716 تومن ساندویچ گرفتم,food
187,3629 تومن شام گرفتم,food
188,4236 خرج کنسرت شد,entertainment
189,522 تومن بازی رفتم,entertainment
190,3097 تومن اتوبوس گرفتم,transport
191,2685 کرایه اتوبوس شد,transport
192,3398 هزینه کار اداری شد,other
193,2586 تومن شهربازی رفتم,entertainment
194,برای 4939 ساندویچ تومن دادم,food
195,خرید 3272 آزمایش تومن,health
196,2762 تومن خرید میوه کردم,shopping
197,برای 938 صبحونه تومن دادم,food
198,برای 247 بازی دادم,entertainment
199,183 تومن خرید کیف کردم,shopping
200,976 تومن بیف برگر خوردم,food
201,3162 تومن قبض برق دادم,housing
202,316 تومن قبض اجاره دادم,housing
203,4249 تومن سینما رفتم,entertainment
204,2894 تومن مترو گرفتم,transport
205,4108 خرج کنسرت شد,entertainment
206,1154 تومن میوه خریدم,shopping
207,4126 تومن قبض آب دادم,housing
208,295 تومن قبض اجاره دادم,housing
209,1014 خرج سینما شد,entertainment
210,برای 2751 بیف برگر تومن دادم,food
211,2967 تومن هزینه دندانپزشک شد,health
212,2360 برای تاکسی پرداخت کردم,transport
213,برای 460 ناهار تومن دادم,food
214,1098 تومن کافی شاپ رفتم,entertainment
215,4587 برای تاکسی پرداخت کردم,transport
216,1301 تومن خرج هزینه متفرقه کردم,other
217,1406 تومن هزینه ویزیت شد,health
218,برای 3902 بازی دادم,entertainment
219,برای 1194 سینما دادم,entertainment
220,4472 تومن سینما رفتم,entertainment
221,3918 تومن خرید لباس کردم,shopping
222,سهم 3603 آب شد,housing
