id,text,label
1,دادم تومن خیلی خرج مترو تقریبا حدود برای براش گرفتم کم اونجا 2000 کنم خریدم رفتم داشتیم امروز گرفتم و,transport
2,2000 داشت امروز دادم راستش خریدم تومن خریدم اونجا گرفتم شد خیلی بعد حدود فکر تفریح براش راستش و رفتم,entertainment
3,50 تومن که سفر و راستش بعدش کنم حدود داشت تقریبا رفتم براش دادم تقریبا فکر تقریبا فکر امروز گرفتم,transport
4,امروز حدود وقتی دادم بعدش تقریبا وقتی و براش رفتم دیروز خرج شام تومن با فکر کردم 900 گرفتم کم,food
5,کم حدود وقتی تقریبا گرفتم براش بعدش دادم شام 1500 گرفتم خریدم گرفتم امروز یه رفتم کم تومن و با,food
6,رفتم اونجا رفتم بعد امروز 900 راستش تقریبا تومن یه با ناهار دیروز گرفتم براش با حدود و داشت دادم,food
7,حدود تومن دادم داشت گرفتم که براش و دادم امروز میوه هم امروز تقریبا رفتم رفتم برای دادم دادم 350,shopping
8,تومن امروز تقریبا دادم رفتم که براش و حدود 200 با خرج گاز رفتم خیلی بعدش دادم گرفتم دادم داشتیم,housing
9,پیتزا 200 گرفتم تقریبا امروز شد خیلی دیروز گرفتم یه داشت تومن فکر که رفتم حدود براش امروز و دادم,food
10,گرفتم شد وقتی دادم و حدود داشت خریدم دادم رفتم 2000 تومن داشت تقریبا فکر داشتیم خیلی براش امروز اجاره,housing
11,وقتی خریدم 50 براش سوپرمارکت امروز فکر خریدم شد رفتم با دیروز دادم گرفتم تومن حدود رفتم داشت و دیروز,shopping
12,حدود سینما که که داشتیم رفتم که و داشت تومن امروز دادم براش 50 بعدش شد گرفتم که فکر هم,entertainment
13,50 و با برای خرج بعد خیلی گرفتم امروز تومن حدود دادم حدود بعد براش بیمارستان رفتم راستش کردم رفتم,health
14,دادم تقریبا براش امروز راستش خریدم اونجا و دادم تومن 350 کم رفتم حدود دیروز دیروز شارژ حدود با گرفتم,housing
15,گرفتم بعدش و وقتی داشتیم کنم دادم برای تقریبا 70 رفتم حدود امروز یه وقتی امروز کیف تومن براش تقریبا,shopping
16,700 میوه رفتم امروز تقریبا دادم فکر تومن کم و گرفتم فکر رفتم براش دادم کردم تقریبا رفتم راستش حدود,shopping
17,رفتم گرفتم که 50 حدود امروز دادم برای کم تفریح داشتیم دادم و تومن شد حدود کنم گرفتم امروز براش,entertainment
18,فکر براش شد با گرفتم کم جنس دادم که امروز راستش حدود حدود امروز رفتم و راستش 120 راستش تومن,shopping
19,تومن کافه حدود دادم وقتی برای گرفتم یه دیروز هم و 300 امروز خرج تقریبا دادم شد حدود براش رفتم,entertainment
20,رفتم تقریبا حدود امروز و دادم برای براش خریدم گرفتم بعدش 900 تقریبا حدود فیلم تومن خرج دیروز هم امروز,entertainment
21,رفتم حدود با و تقریبا تقریبا تومن 2000 گرفتم خرج خرج رفتم اونجا هم دادم براش تقریبا امروز خرج پاپکورن,entertainment
22,رفتم براش خریدم راستش رفتم تومن و حدود مترو داشتیم رفتم فکر امروز 1200 گرفتم کردم تقریبا بعد حدود دادم,transport
23,اونجا راستش تومن امروز خیلی 120 اونجا براش رفتم حدود تقریبا داشت گرفتم تقریبا کم گردش دادم و حدود شد,entertainment
24,تقریبا 700 آب دادم گرفتم دادم امروز حدود براش تقریبا رفتم با حدود گرفتم تقریبا و اونجا تومن دیروز بعد,housing
25,براش حدود دادم امروز خرج بعدش حدود شد داشتیم وقتی اونجا و رفتم گرفتم لباس 120 تومن کنم دیروز یه,shopping
26,گرفتم دادم و براش رفتم خریدم با تومن رفتم کنم خیلی کنم آب 250 حدود وقتی کردم گرفتم رفتم امروز,housing
27,خریدم حدود براش کردم هم گرفتم امروز شد آب و شد داشت تقریبا 2000 رفتم رفتم دادم تومن بعدش دادم,housing
28,فکر هم رفتم شد تومن تقریبا درمان امروز وقتی و شد دادم حدود حدود تقریبا خریدم گرفتم براش 400 وقتی,health
29,بعد گرفتم با رفتم دادم امروز یه و تومن داشت 250 دیروز حدود کنم براش فکر درمان داشتیم دادم خیلی,health
30,رفتم اونجا کم 400 کنم فکر فکر داشت حدود هم برای راستش جنس گرفتم براش تومن دادم حدود و امروز,shopping
