text,label
خرید هدیه تولد برای دوست به مبلغ ۵۰ هزار تومن اختصاص یافت.,4
هزینه مواد غذایی هفتگی مبلغ ۲ میلیون ریال پیاده شدم.,1
خرید کفش از پاساژ مبلغ ۱۵۰٬۰۰۰ ریال دادم.,5
هزینه ورودی شهربازی پرداخت شد مبلغ ۱۰۰ هزار تومان پرید.,0
پول بلیط کنسرت موسیقی مبلغ ۵۰ هزار تومن دادم.,0
پرداخت هزینه آزمایش خون به مبلغ ۱۵۰٬۰۰۰ ریال پرداخت کردم.,2
برای اشتراک ماهانه فیلیمو مبلغ X هزینه کردم به مبلغ ۲۰ هزار تومان اختصاص یافت.,0
پول خدمات لوله‌کشی مبلغ ۱۵۰٬۰۰۰ ریال برداشتم.,3
هزینه خدمات خشک‌شویی مبلغ ۱۰۰ هزار تومان خرجی کردم.,4
هزینه خدمات خشک‌شویی مبلغ ۷۰۰ هزار تومان پیاده شدم.,4
هزینه خدمات خشک‌شویی به مبلغ ۲۰ هزار تومان هزینه شد.,4
خرید کیف چرمی مبلغ ۷۰۰ هزار تومان دادم.,5
پول خدمات لوله‌کشی مبلغ ۲ میلیون ریال خرجی کردم.,3
هزینه خرید لباس جدید مبلغ ۵ میلیون تومان برداشتم.,5
پرداخت هزینه تعمیرات منزل مبلغ ۱۵۰٬۰۰۰ ریال پیاده شدم.,3
"بلیط مترو و اتوبوس مبلغ ۲۵۰,۰۰۰ تومان خرجی کردم.",6
"پرداخت هزینه آزمایش خون به مبلغ ۲۵۰,۰۰۰ تومان هزینه شد.",2
"خرید کیف چرمی به مبلغ ۲۵۰,۰۰۰ تومان اختصاص یافت.",5
خرید کیف چرمی مبلغ ۳۰ هزار تومن برداشتم.,5
هزینه ورودی شهربازی پرداخت شد مبلغ ۵۰ هزار تومن دادم.,0
خرید هدیه تولد برای دوست مبلغ ۵۰ هزار تومن برداشتم.,4
هزینه قبض برق و گاز به مبلغ ۲ میلیون ریال هزینه شد.,3
خرید ناهار از رستوران مبلغ ۲ میلیون ریال پرید.,1
مبلغ ویزیت دندانپزشکی مبلغ ۱۵۰٬۰۰۰ ریال دادم.,2
مبلغ شارژ ساختمان مبلغ ۱۰۰ هزار تومان برداشتم.,3
برای اشتراک ماهانه فیلیمو مبلغ X هزینه کردم به مبلغ ۱۰ هزار تومن هزینه شد.,0
پول بنزین ماشین به مبلغ ۳۰ هزار تومن اختصاص یافت.,6
هزینه ویزیت دکتر متخصص به مبلغ ۲۰ هزار تومان هزینه شد.,2
خرید کیف چرمی به مبلغ ۲۰ هزار تومان پرداخت شد.,5
هزینه کرایه اسنپ مبلغ ۲ میلیون ریال برداشتم.,6
برای اشتراک ماهانه فیلیمو مبلغ X هزینه کردم مبلغ ۱۰۰ هزار تومان خرجی کردم.,0
مبلغ ویزیت دندانپزشکی مبلغ ۵ میلیون تومان دادم.,2
هزینه مواد غذایی هفتگی به مبلغ ۳۰ هزار تومن پرداخت شد.,1
پول بلیط کنسرت موسیقی مبلغ ۱۰۰ هزار تومان برداشتم.,0
سفارش پیتزا برای شام مبلغ ۱۵۰٬۰۰۰ ریال برداشتم.,1
سفارش پیتزا برای شام به مبلغ ۳۰ هزار تومن پرداخت شد.,1
پول داروخانه برای مکمل مبلغ ۱۰ هزار تومن پرید.,2
خرید هدیه تولد برای دوست مبلغ ۵ میلیون تومان پرید.,4
هزینه خرید لباس جدید مبلغ ۱۰۰ هزار تومان دادم.,5
مبلغ ویزیت دندانپزشکی به مبلغ ۵۰ هزار تومن پرداخت شد.,2
"خرید هدیه تولد برای دوست به مبلغ ۲۵۰,۰۰۰ تومان هزینه شد.",4
پول بلیط کنسرت موسیقی مبلغ ۷۰۰ هزار تومان پرید.,0
